name,link,rating,enroll,instructor,time,levelrequirement,skillrequirement,SkillWillLearn,SkillGain,Subject,organization,fee,program,RelationInsOrg,Subtitle
Machine Learning,https://www.coursera.org/learn/machine-learning,4.9,"4,491,564",Andrew Ng,61 hours,,,"Machine learning is the science of getting computers to act without being explicitly programmed. In the past decade, machine learning has given us self-driving cars, practical speech recognition, effective web search, and a vastly improved understanding of the human genome. Machine learning is so pervasive today that you probably use it dozens of times a day without knowing it. Many researchers also think it is the best way to make progress towards human-level AI. In this class, you will learn about the most effective machine learning techniques, and gain practice implementing them and getting them to work for yourself. More importantly, you'll learn about not only the theoretical underpinnings of learning, but also gain the practical know-how needed to quickly and powerfully apply these techniques to new problems. Finally, you'll learn about some of Silicon Valley's best practices in innovation as it pertains to machine learning and AI. This course provides a broad introduction to machine learning, datamining, and statistical pattern recognition. Topics include: (i) Supervised learning (parametric/non-parametric algorithms, support vector machines, kernels, neural networks). (ii) Unsupervised learning (clustering, dimensionality reduction, recommender systems, deep learning). (iii) Best practices in machine learning (bias/variance theory; innovation process in machine learning and AI). The course will also draw from numerous case studies and applications, so that you'll also learn how to apply learning algorithms to building smart robots (perception, control), text understanding (web search, anti-spam), computer vision, medical informatics, audio, database mining, and other areas.",Logistic Regression          Artificial Neural Network          Machine Learning (ML) Algorithms          Machine Learning      ,Data Science,Stanford University,Enroll for Free,,"Andrew Ng work for Stanford University, Coursera, DeepLearning.AI","Arabic, French, Portuguese (European), Chinese (Simplified), Italian, Vietnamese, German, Russian, English, Hebrew, Spanish, Hindi, Japanese"
Data Visualization in Excel,https://www.coursera.org/learn/excel-data-visualization,4.9,"12,564","Nicky Bull,Dr Prashan S. M. Karunaratne",18 hours,Intermediate,We expect that you have some background with Excel. You can move around the interface and create basic formulas.,"In an age now driven by ""big data"", we need to cut through the noise and present key information in a way that can be quickly consumed and acted upon making data visualization an increasingly important skill. Visualizations need to not only present data in an easy to understand and attractive way, but they must also provide context for the data, tell a story, achieving that fine balance between form and function. Excel has many rivals in this space, but it is still an excellent choice, particularly if it's where your data resides. It offers a wealth of tools for creating visualizations other than charts and the chart options available are constantly increasing and improving, so the newer versions now include waterfall charts, sunburst diagrams and even map charts. But what sets Excel apart is its flexibility, it gives us total creative control over our designs so if needed we could produce our own animated custom chart to tell the right story for our data. Over five weeks we will explore Excel's rich selection of visualization tools using practical case studies as seen through the eyes of Rohan, an environmental analyst. Rohan is required to produce visualizations that will show trends, forecasts, breakdowns and comparisons for a large variety of environmental data sets. As well as utilising the usual chart types he wants to use conditional formats, sparklines, specialised charts and even create his own animated charts and infographics. In some cases, he will also need to prepare the data using pivot tables to drill down and answer very specific questions. We are going to help him achieve all this and present our finished visualizations in attractive reports and dashboards that use tools like slicers and macros for automation and interactivity.These are the topics we will cover:Week 1: 	Dynamic visualizations with conditional formatting, custom number formatting, sparklines and macrosWeek 2: 	Charting techniques for telling the right storyWeek 3: 	Creating specialised and custom chartsWeek 4: 	Summarising and filtering data with pivot tables and pivot chartsWeek 5: 	Creating interactive dashboards in ExcelThis is the second course in our Specialization on Data Analytics and Visualization. The first course: Excel Fundamentals for Data Analysis, covers data preparation and cleaning but also teaches some of the prerequisites for this course like tables and named ranges as well as text, lookup and logical functions. To get the most out of this course we would recommend you do the first course or have experience with these topics. In this course we focus on Data Visualization in Excel, join us for this exciting journey.", Microsoft Excel          Data Visualization (DataViz)      ,Business,Macquarie University,Enroll for Free,Excel Skills for Data Analytics and Visualization Specialization,"Nicky Bull work for Macquarie University,Dr Prashan S. M. Karunaratne work for Macquarie University",English
Spatial Analysis and Satellite Imagery in a GIS,https://www.coursera.org/learn/spatial-analysis-satellite-imagery-in-a-gis,4.9,"18,321",Don Boyes,14 hours,Beginner,,"In this course, you will learn how to analyze map data using different data types and methods to answer geographic questions. First, you will learn how to filter a data set using different types of queries to find just the data you need to answer a particular question. Then, we will discuss simple yet powerful analysis methods that use vector data to find spatial relationships within and between data sets. In this section, you will also learn about how to use ModelBuilder, a simple but powerful tool for building analysis flowcharts that can then also be run as models. You will then learn how to find, understand, and use remotely sensed data such as satellite imagery, as a rich source of GIS data. You will then learn how to analyze raster data. Finally, you will complete your own project where you get to try out the new skills and tools you have learned about in this course. Note: software is not provided for this course.",Geographic Information System (GIS)          Cartography          Esri          Mapping          Spatial Analysis      ,Physical Science and Engineering,University of Toronto,Enroll for Free,"GIS, Mapping, and Spatial Analysis Specialization",Don Boyes work for University of Toronto,"Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
Python Data Structures,https://www.coursera.org/learn/python-data,4.9,"800,203",Charles Russell Severance,19 hours,,,Explain the principles of data structures &amp; how they are used. Create programs that are able to read and write data from files. Store data as key/value pairs using Python dictionaries. Accomplish multi-step tasks like sorting or looping using tuples,Python Syntax And Semantics          Data Structure          Tuple          Python Programming      ,Computer Science,University of Michigan,Enroll for Free,Python for Everybody Specialization,Charles Russell Severance work for University of Michigan,"Arabic, French, Portuguese (European), Chinese (Simplified), Italian, Vietnamese, Korean, German, Russian, English, Spanish"
Neural Networks and Deep Learning,https://www.coursera.org/learn/neural-networks-deep-learning,4.9,"1,013,093","Andrew Ng,Kian Katanforoosh,Younes Bensouda Mourri",27 hours,Intermediate,,"In the first course of the Deep Learning Specialization, you will study the foundational concept of neural networks and deep learning.  By the end, you will be familiar with the significant technological trends driving the rise of deep learning; build, train, and apply fully connected deep neural networks; implement efficient (vectorized) neural networks; identify key parameters in a neural network’s architecture; and apply deep learning to your own applications.The Deep Learning Specialization is our foundational program that will help you understand the capabilities, challenges, and consequences of deep learning and prepare you to participate in the development of leading-edge AI technology. It provides a pathway for you to gain the knowledge and skills to apply machine learning to your work, level up your technical career, and take the definitive step in the world of AI.",Deep Learning          Artificial Neural Network          Backpropagation          Python Programming          Neural Network Architecture      ,Data Science,DeepLearning.AI,Enroll for Free,Deep Learning Specialization,"Andrew Ng work for Stanford University, Coursera, DeepLearning.AI,Kian Katanforoosh work for DeepLearning.AI,Younes Bensouda Mourri work for DeepLearning.AI","Chinese (Traditional), Arabic, French, Portuguese (European), Chinese (Simplified), Italian, Portuguese (Brazilian), Vietnamese, Korean, German, Russian, Turkish, English, Spanish, Japanese"
What is Data Science? ,https://www.coursera.org/learn/what-is-datascience,4.7,"516,658","Rav Ahuja,Alex Aklson",9 hours,Beginner,,Define data science and its importance in today’s data-driven world. Describe the various paths that can lead to a career in data science. Describe the advice given by seasoned data science professionals to data scientists who are just starting out. Explain why data science is considered the sexiest job in the 21st century.,Data Science          Deep Learning          Machine Learning          Big Data          Data Mining      ,Data Science,IBM,Enroll for Free,,"Rav Ahuja work for Coursera, IBM,Alex Aklson work for IBM","Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Turkish, English, Spanish"
Web of Data,https://www.coursera.org/learn/web-data,4.1,"4,104","Catherine Faron Zucker,Fabien Gandon,Olivier Corby",18 hours,Intermediate,,"This MOOC – a joint initiative between EIT Digital, Université de Nice Sophia-Antipolis / Université Côte d'Azur, and INRIA - introduces the Linked Data standards and principles that provide the foundation of the Semantic web. You will learn how to publish, obtain and use structured data directly from the Web. Learning the principles, languages, and standards to exchange data on the Web will enable you to design and produce new applications, products, and services that leverage the volume and variety of data the Web holds. We divided this course into four parts that cover the core technical skills and competencies you need to master to be able to use the Web as a space for giant structure data exchange:•. in the first part, “Principals of a Web of Linked Data”: you will learn and practice the principles to publish and obtain data directly on the Web instead of Web pages; •. in the second part, “The RDF Data Model”: you will learn the standard data model for the Web and its syntaxes to publish and link data on the Web in your applications and services;•. in the third part, “SPARQL Query Language”: you will learn how to directly query and access data sources on the Web and obtain structured data relevant to your activity and domain;•. in the fourth and final part, “Integration of other Data Formats and Sources”: you will learn how the Web standards interact and interoperate with other data formats to allow the integration of a variety of data sources.Each week alternates short videos and quizzes, as well as supplementary resources and forums to gradually progress through the different principles and standards.After following this course successfully, you will have the skills to obtain focused and structured datasets from the Web that you can then use to augment your own datasets, enrich their dimensions, feed your applications, perform data mining, machine learning, and training, data analysis, AI processing and reasoning and other data management.",search for occurrences of a query graph          publish Linked Open Data on the Web          access remotely data sources on the Web          use and mix together existing data to obtain new data      ,Data Science,EIT Digital ,Enroll for Free,,"Catherine Faron Zucker work for EIT Digital ,Fabien Gandon work for EIT Digital ,Olivier Corby work for EIT Digital ",English
Share Data Through the Art of Visualization,https://www.coursera.org/learn/visualize-data,4.5,"68,559",Google Career Certificates,24 hours,Beginner,No prior experience with spreadsheets or data analytics is required. All you need is high-school level math and a curiosity about how things work. ,Describe the use of data visualizations to talk about data and the results of data analysis. Identify Tableau as a data visualization tool and understand its uses. Explain what data driven stories are including reference to their importance and their attributes. Explain principles and practices associated with effective presentations,Data Analysis          Tableau Software          Data Visualization (DataViz)          Presentation      ,Data Science,Google,Enroll for Free,Google Data Analytics Professional Certificate,Google Career Certificates work for Google,English
Visualization for Data Journalism,https://www.coursera.org/learn/visualization-for-data-journalism,4.4,"6,089",Margaret Ng,18 hours,Beginner,,"While telling stories with data has been part of the news practice since its earliest days, it is in the midst of a renaissance. Graphics desks which used to be deemed as “the art department,” a subfield outside the work of newsrooms, are becoming a core part of newsrooms’ operation. Those people (they often have various titles: data journalists, news artists, graphic reporters, developers, etc.) who design news graphics are expected to be full-fledged journalists and work closely with reporters and editors. The purpose of this class is to learn how to think about the visual presentation of data, how and why it works, and how to doit the right way. We will learn how to make graphs like The New York Times, Vox, Pew, and FiveThirtyEight. In the end, you can share–embed your beautiful charts in publications, blog posts, and websites. This course assumes you understand basic coding skills, preferably Python. However, we also provide a brief review on Python in Module 1, in case you want to refresh yourself on the basics and perform simple data analysis.",Python Libraries          Data Analysis          Plotly          Data Reporting          Data Visualization (DataViz)      ,Data Science,University of Illinois at Urbana-Champaign,Enroll for Free,,Margaret Ng work for University of Illinois at Urbana-Champaign,"French, Portuguese (European), Russian, English, Spanish"
Using Data for Geographic Mapping and Forecasting in SAS Visual Analytics,https://www.coursera.org/learn/using-data-geographic-mapping-sas-va,4.8,"7,270",Nicole Ball,5 hours,Intermediate,,"In this course, you learn about the data structure needed for geographic mapping and forecasting, how to use SAS Data Studio to restructure data for analysis, and how to create geo maps and forecasts in SAS Visual Analytics.",,Data Science,SAS,Enroll for Free,SAS Visual Business Analytics Professional Certificate,Nicole Ball work for SAS,Subtitles: English
Understanding and Visualizing Data with Python,https://www.coursera.org/learn/understanding-visualization-data,4.7,"92,827","Brenda Gunderson,Brady T. West,Kerby Shedden",21 hours,Beginner,High school algebra,Properly identify various data types and understand the different uses for each. Create data visualizations and numerical summaries with Python. Communicate statistical ideas clearly and concisely to a broad audience. Identify appropriate analytic techniques for probability and non-probability samples,Statistics          Data Analysis          Python Programming          Data Visualization (DataViz)      ,Data Science,University of Michigan,Enroll for Free,Statistics with Python Specialization,"Brenda Gunderson work for University of Michigan,Brady T. West work for University of Michigan,Kerby Shedden work for University of Michigan","Arabic, French, Portuguese (European), Italian, Vietnamese, Korean, German, Russian, English, Spanish"
Tools for Exploratory Data Analysis in Business,https://www.coursera.org/learn/tools-exploratory-data-analysis-business,,"2,271","Jessen Hobson,Ronald Guymon",18 hours,Beginner,Some prior experience using data in a business setting is helpful.,Development of an analytic mindset for approaching business problems. The ability to appraise the value of datasets foraddressing business problems using summary statistics and data visualizations. Competence in operating business analytic software applications for exploratory data analysis.,R and RStudio          Data Cleansing and Exploration          Alteryx          Analytic Mindset          PowerBI      ,Data Science,University of Illinois at Urbana-Champaign,Enroll for Free,Business Analytics Specialization,"Jessen Hobson work for University of Illinois at Urbana-Champaign,Ronald Guymon work for University of Illinois at Urbana-Champaign",English
Importing Data in the Tidyverse,https://www.coursera.org/learn/tidyverse-importing-data,4.6,,"Carrie Wright, PhD,Shannon Ellis, PhD,Stephanie Hicks, PhD,Roger D. Peng, PhD",15 hours,Beginner,F​amiliarity with the R programming language,Describe different data formats. Apply Tidyverse functions to import data into R from external formats. Obtain data from a web API,,Data Science,Johns Hopkins University,Enroll for Free,Tidyverse Skills for Data Science in R Specialization,"Carrie Wright, PhD work for Johns Hopkins University,Shannon Ellis, PhD work for Johns Hopkins University,Stephanie Hicks, PhD work for Johns Hopkins University,Roger D. Peng, PhD work for Johns Hopkins University",Subtitles: English
