name,description,salary
Full Stack Developer," Job Description. Title. Django/Angular Full-Stack Developer. Summary. Our client is looking for an experienced full-stack developer to help build web Angular/Django web applications. You will be r. esponsible for helping deliver an outstanding and unprecedented user experience for clients. You will design and build new modules as well as use standardized Angular components across multiple modules. The web technology is based on Django, Angular, and Postgres. Any. experience architecting larger systems with knowledge of industry-leading technologies is a plus. HERE IS WHAT YOU WILL BE DOING: Developing code that fits the Django Rest Framework to meet specific business requirements. Developing Angular modules to meet specific business functionality. Standardizing existing Django code to match best practices. Refactoring older, existing Angular components when needed. THE RIGHT DEVELOPER WILL HAVE5 YEARS OF EXPERIENCE IN THE FOLLOWING: Translating mock-ups and wireframes into front-end code. Django Rest Framework. Djangox preferred, Angular2, Postgres. MS or  BS/BA Degree from Accredited Institution. Due to the team and collaboration involved, our client is seeking someone that is or can relocate to the Raleigh, NC area. This position will be a hybrid in office/work from home position. Relocation assistance will be included. About Us: SourceAbility provides best-in-class recruitment services primarily in the areas of Data and Analytics. We strive to work with client companies that provide exceptional work environments for the candidates we represent. Our staff is highly trained in multiple verticals and work to ensure a positive experience when working with a recruitment firm. SourceAbility, Inc. does not discriminate in the acceptance or re erral of candidates on the basis of race, color, religion, sex, age, national origin, marital status, disability, or other protected characteristics. Contact Please contact Tanya Calkins at SourceAbility.","$110,000 - $135,000"
Full Stack Developer," Job Description. SHR Talent is partnering with a client in the Murfreesboro area looking to hire a Full Stack Developer to produce scalable software solutions. A successful candidate will be a team player with a knack for developing and maintaining hybrid applications using JavaScript, Node, and SQL Databases. Experience in Mobile development using Ionic and Cordova or a similar framework is required. DevOps experience is highly preferred. This is not an H1B/C2C opportunity. Applicants must be s. Requirements: Proven experience as a Full Stack Developer or similar role. Experience developing desktop and mobile applications. Highly proficient working with JavaScript. Knowledgeable of multiple back-end languages and JavaScript frameworks (e.g. Angular, React, N ode.js). Familiarity wit h SQL Databases. Experience working with DevOps tools preferred (e.g. Git, Jenkins, Doc ker, Puppet, Chef). Experience developing CI / CD pipelines preferred. Excellent communication and teamwork skills. Great attention to detail. Degree in Computer Science or related field is preferred.","$85,000 - $95,000"
Full Stack Developer," Job Description. Full Stack Developer Job Description. The IT Digital Sales team is responsible for developing the sales technology roadmap which will enable Kimberly Clark's commercial transformation. Is the delivery engine for all sales capabilities within the sales portfolio, and accountable for the availability and reliability of all apps running in the sales landscape. As part of this team the Full Stack developer is responsible for the design and development of architecting solutions, designing interfaces, estimating work, building new modules/templates/components, maintaining existing capabilities, and creating Responsive/Adaptive web pages that can be viewed on desktop, tablet or mobile and hosted on-premise or in the cloud.The Full-Stack Developer will provide technology thought leadership and come up with solutions that will optimize the ROI, will also need to develop technical artifacts where required (technical specifications, architectural diagrams, database diagrams, etc). Key Accountabilities: Participate in requirements gathering to solidify requirements and determine the best technical solution to meet the business needs. Develop and implement new templates, components, and responsive web pages/sites and support Kimberly-Clark's development and security standards while developing. Work closely with the Sales and Trade Marketing organization on the implementation of new capabilities. Carry out the development of the assigned project adhering to the engineering standards/best practices, committing to the agreed timeline, and ensures quality metrics are met. Integrate internal and external applications using APIs. Prepare technical and other documents related the core platforms as required. Perform technical onboarding of the new employees or Agencies on the core platform. Provide technology leadership to implementation teams. Skills / Experience Required: A Bachelors' of Computer Science or a related field is required. Experience architecting and implementing large-scale web solutions. Experience in defining non-functional requirements for business needs.5 years experience in the development of scalable consumer-facing digital solutions (consumer websites, web applications, mobile sites, etc.) in .NET/ C# / MVC (working with at least one framework like WCF or Web API) with a key focus on performance, security, and scalability. Experience with Web Services (SOAP/REST) architecture. Experience with Cloud ecosystems including Azure and Snowflake is a plus. Experience designing and optimizing relational databases and stored procedures for optimal performance and/or maintainability. Experience with front-end development using JavaScript (jQuery plus Node, Angular, or React), CSS, and HTML is a plus. Kimberly-Clark and its well-known global brands are an indispensable part of life for people in more than5 countries. Every day,3 billion people nearly a quarter of the world's population trust K-C brands and the solutions they provide to enhance their health, hygiene, and well-being. With brands such as Kleenex, Scott, Huggies, Pull-Ups, Kotex, and Depend, Kimberly-Clark holds No.1 or No.share positions in more than countries. With more than0 years of history of innovation, we believe in recruiting the best people and empowering them do their best work. If fresh thinking and a passion to win inspire you, come Unleash Your Power at Kimberly-Clark. For Kimberly-Clark to grow and prosper, we must be an inclusive organization that applies the diverse experiences and passions of its team members to brands that make life better for people all around the world. We actively seek to build a workforce that reflects the experiences of our consumers. When you bring your original thinking to Kimberly-Clark, you fuel the continued success of our enterprise. We are a committed equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, sexual orientation, gender identity, age, pregnancy, genetic information, citizenship status, or any other characteristic protected by law. The statements above are intended to describe the general nature and level of work performed by employees assigned to this classification. Statements are not intended to be construed as an exhaustive list of all duties, responsibilities and skills required for this position. This position may require a post-offer/pre-hire Physical Abilities Test (PAT) to confirm that individuals are able to perform the essential functions of the job. K-C requires that an employee have authorization to work in the country in which the role is based. In the event an applicant does not have current work authorization, K-C will determine, in its sole discretion, whether to sponsor an individual for work authorization. However, based on immigration requirements, not all roles are suitable for sponsorship. This position is subject to drug and alcohol testing, including pre-employment testing. #dice Global VISA and Relocation Specifications: K-C will not provide support for relocation of the chosen candidate for this role, if necessary, relocation will be at the candidate's own expense. Primary Location. USA-WI-Neenah Additional Locations. USA-GA-Atlanta-Roswell Worker Type. Employee Worker Sub-Type. Regular Time Type. Full time.",No Salary Listed
Sr. Full Stack Developer with Top Secret Clearance," Job Description. Are you an analytical, data-driven professional? Are you interested in a role that offers an opportunity to provide front line support to our clients instead of a ""back office programmer"" position? If so, Deloitte's Government and Public Services (GPS) Advisory Regulatory and Legal Support team is the place for you! Join our team of specialists as they unlock insights contained in the data universe and work through challenges related to the identification of improper payments, data quality, mission-oriented analysis, and cost management. Work you'll do As a Full Stack Developer within our Regulatory and Legal Support team, you will: Organize and deliver services on a cross-section of complex projects. Displays both breadth and depth of knowledge regarding functional and technical issues. Displays leadership and business judgment in anticipating client/project needs and developing alternative solutions. Participate in the development of new and maintenance of customer's custom applications. Provide top-level technical services to include, but are not limited to, agile development, system engineering, and software development. Actively contribute to mission capabilities development and deployment to address emerging requirements. Perform in all three areas of development, integration and production deployment. Conduct technical research on software development tasks including automation prototyping and tool development. The Team Transparency, innovation, collaboration, sustainability: these are the hallmark issues shaping government initiatives today. Deloitte's GPS practice is passionate about making an impact with lasting change. Carrying out missions in the GPS practice requires fresh thinking and a creative approach. We collaborate with teams from across our organization in order to bring the full breadth of Deloitte, its commercial and public sector expertise, to best support our clients. Our aspiration is to be the premier integrated solutions provider in helping to transform the GPS marketplace. Advisory Regulatory and Legal Support mitigates current and future risk for our GPS clients across several industries, spanning from finance and audit readiness to forensics and healthcare. With a creative and innovative approach, our Regulatory and Legal Support team exposes our clients' risks and provides recommendations to improve the quality of data. We collaborate closely with government agencies, accountants, IT professionals, and clients to produce analyses in support of risk consulting engagements. Qualifications Required: Must have an active Top Secret clearance with the ability to obtain an SCI. Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future. Bachelor's Degree in Economics, Finance, Statistics, Mathematics, Computer Science, Management Information Systems, Engineering, Business Analytics disciplines, or related area. Experience with most of the following: DOMEX, .NET, Core AngularJS, ReactJS, JQuery, HTML, NodeJS, and ElasticSearch. years of experience as a Full Stack Developer. Applied knowledge with .NET, JavaScript, MongoDB, API Design, PostgreSQL, JIRA, Database Administration, JSON, XML APIs and Python. Preferred: Previous Federal Consulting and/or professional services experience. Advanced Degree in related field. Certified in SAS, ACL, CPA, CISA, CISSP, PMP, FRM, ASA, and/or CFA. Applied knowledge of Extended N-tiered Software Architectures, REST, SOAP, WiQuery, AJAX, XSD, UNIX/Solaris, Linux/Ubuntu, Maven and/or Visual C. Experience with Database Design, AWS/cloud development and solutions architecture. Familiarity with and experience developing in government cloud environments (C2S, ICGC). Comfort with Agile Methodology/SCRUM development and Confluence. Experience leveraging data analysis to construct compelling narratives. Familiarity with cloud computing technology. How you'll grow At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there's always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career.",No Salary Listed
.NET Full Stack Developer," Job Description. Are you an experienced, passionate pioneer in technology? A system's professional who wants to work in a collaborative environment. As an experienced .NET Full Stack Developer, you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. Work you'll do/Responsibilities You will be responsible for managing day to day client business support of their IT landscape and applications. You will be responsible for managing client support incidents. You will be responsible for managing USI teams. You will be responsible for managing weekly/monthly reporting. You will be responsible for managing client conversations. You will be responsible for configuring / POC / managing offshore teams (3-4) and will work with to enhance, and fix issues. You will be responsible for operating engagements. The Team From leading practice to business necessity, every business recognizes the need for a strategic cloud integration platform. At Deloitte Consulting, our technology strategy and architecture specialists help organizations develop the strategies and implement the systems that build business value and drive performance. We have the in-depth knowledge and experience gained from working on some of the most complex IT challenges around the globe, everything from system replacement to full IT transformation. Our TSO ServiceNow team works with clients to transform their technology delivery by collaborating with CIOs, Technology Executives, and their teams. Together we work to establish IT operating models based on the implications of next generation and advanced technologies, new and evolving service models for technology, and the operational expectations of an organization. Our team of experienced technologists understand the interwoven nature technology plays in all aspects of today's business environment and focus on helping our clients shift from foundational delivery of technology to being the strategic business partner and catalyst for change. Our Agile/DevOps/Lean technology experts work to transform the workforce of our clients into the next generation of technology service delivery teams. Qualifications Required Bachelor's Degree or equivocal BS/MS degree in an associated field with at leastyears of experience. Must have experience with Client Facing. Must have experience working with Full Stack .NET Software development. Must have years' experience as a Solution Engineer. Must have experience with managing onshore and offshore teams. Familiarity of working in an Agile framework. Demonstrate skills in coordinating activities, evaluating data, problem-solving and decision-making. A basic understanding of support methodologies like ITIL is desired and should have familiarity with different metrics and SLAs. Self-motivated and able to take the initiative to resolve technical issues. Must live in or be willing to relocate to Houston, TX. Limited Sponsorship may be available. Travel up to% annually. Preferred Qualifications NSAP Strong .net skills IMS service desk, infrastructure expert. ",No Salary Listed
Full Stack Developer," Job Description. Are you a driven problem solver looking to help our clients tackle some of the most pressing challenges within Government and Public Services? Join Deloitte's Program Integrity practice to help government agencies protect taxpayer money. To address the threats that perpetuate fraud, waste, and abuse, our clients look to our team to provide the guidance and solutions required to help them stay ahead of emerging issues and protect the integrity of their programs. If you are looking for a rapidly growing, collaborative environment with opportunities to make an impact and grow, our Program Integrity team would be a great fit for you! Work you'll do As a Full Stack Developer you will be developing web based applications and deploy to cloud as applicable. You'll be responsible for employing the HCD principles, use centric design and follow agile development methodologies. Collaborating with data architects, data scientists, clinical specialists and the program management teams. The team Deloitte's Government and Public Services (GPS) practice our people, ideas, technology and outcomes-is designed for impact. Serving federal, state, and local government clients as well as public higher education institutions, our team of over,000+ professionals brings fresh perspective to help clients anticipate disruption, reimagine the possible, and fulfill their mission promise. We bring a rigorous approach to help government agencies effectively detect, prevent, and respond to issues related to fraud, waste, and abuse. Our team helps tackle these threats by bringing cutting edge analytics and AI experience with innovative mindsets. Our Program Integrity team focuses on thought diversity and collaborative problem solving to help clients address these challenges holistically, with a common goal to protect the integrity of their programs. Deloitte brings a rigorous analytic-based approach to effectively detect, prevent, and respond to issues related to fraud, waste, and abuse. Our practitioners channel their analytic expertise to identify the nature, size, and scope of Program Integrity threats and address them through the development and deployment of analytic solutions such as machine learning models and graph algorithms. Qualifications Required: Bachelor's degree required in Computer Science, Information Technology, or related field. years' experience as a Full Stack Developer. years' experience developing cloud-based web applications, using Javascript, Style guides and application management. Experience working within Django framework. Must have UI experience with React.js and/or Angular. Must be legally auth orized to work in the United States. Must be able to obtain and maintain the required clearance for this role. Experience building applications on cloud platforms such as GCP, AWS and Azure. Build detailed workflows and user stories. Preferred: Knowledge on building applications on cloud platforms such as GCP, AWS and Azure. Healthcare application development experience is a plus. Ability to create requirements and build into detailed workflows and user stories.",No Salary Listed
Applied AI Full Stack Developer," Job Description. While analytics isn't new, we're experiencing a renaissance in the science, technology, and application of business analytics today, which makes it hard to keep up. Many business leaders are now facing the dilemma of how best to quickly get up to speed on what analytics can actually deliver in practice. That's where Deloitte's Applied AI team can help. Work you'll do We are looking to add an experienced Developer to our team. As a Full Stack Developer, you will specialize in building powerful yet elegant products using cutting edge technologies. The Developer will have the opportunity to design and build innovative applications that offer measurable business value to our clients. The individual in this role may work in either a pure development role, helping architect and design a solution, or act as a lead, managing a development team. Evaluate client business challenges and work with the team to arrive at the best-fit technology solution components. Design, document, and develop world class web applications leveraging the full spectrum of front-end and back-end technologies and cutting-edge design patterns. Collaborate with clients and business analysts to translate business requirements into technical requirements. Mentor and assist with training junior developers. The team Analytics and Cognitive In this age of disruption, organizations need to navigate the future with confidence, embracing decision making with clear, data-driven choices that deliver enterprise value in a dynamic business environment. As the premier data-powered and platform-enabled cognitive consultancy, we help clients achieve competitive advantage through data and cognitive powered transformations that promote enterprise intelligence, autonomous processes, and precision stakeholder engagement The Analytics and Cognitive team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast troves of data, generate insights, and inform decision-making. Together with the Strategy practice, our Strategy and Analytics portfolio helps clients transform their business by architecting organizational intelligence programs and differentiated strategies to win in their chosen markets Minimum Qualifications A Bachelor's degree andyears of relevant work experience are required. Experience with the entire software development lifecycle (SDLC). Experience with developing web applications with SOA, RESTful, and/or MVC architectures. Experience with scripting languages (JavaScript (Node.js) / Python) and expertise in HTML, Java Script, and CSS skills. years development experience with a lower level language (Java or C#). years experience with server-side Web frameworks (Django (Python), Express (Node.js), Play (Java)). Travel up to% (While% of tra vel is a requirement of the role, due to COVID-19, non-essential travel has been suspended until further notice.). Limited immigration sponsorship may be available. Preferred Qualifications: Strong database development skills and experience with relational databases (Microsoft SQL Server, PostgresDB, MySQL) or NoSQL databases (MongoDB, Neo4j). Knowledge of professional software engineering practices for the full software development lifecycle including coding standards, code reviews, source control management, build process, testing and operations. Basic DevOps experience to deploy and maintain client projects. Experienced programming knowledge in both SAS and SQL, operating system experience with UNIX and relational database knowledge such as ORACLE/TERADATA. SAS/Base, SAS/Stat, SAS/Macro preferred. Understanding of the technology landscape including open source, commercial on-premises, and cloud-based tools: Microsoft Cognitive Services, IBM Watson, IPSoft, Pega, Salesforce Einstein, Google Cloud Platform/Tensor Flow, Amazon Web Services/Sagemaker, PowerBI, SparkCognition, Expert System, Numenta, Deepmind, CognitiveScale, CustomerMatrix. Full-Stack web application development experience. User Interface (UI) design knowledge. Deep experience designing modular, object-oriented programming. Experience in Hadoop, Spark, Storm or related paradigms and associated languages such as Java/C++, R, Python, etc. Experience developing across Windows/UNIX. Experience developing for mobile platforms. Experience mentoring and/or training junior developers. anccon Aand CConsulting21.",No Salary Listed
Full Stack Developer," Job Description. What We'll Bring: At TransUnion, we have a welcoming and energetic environment that encourages collaboration and innovation we're consistently exploring new technologies and tools to be agile. This environment gives our people the opportunity to hone current skills and build new capabilities, while discovering their genius. Come be a part of our team you'll work with great people, pioneering products and cutting-edge technology. This role is for a full stack cloud engineer that will operate as a member on one of the core teams responsible for enabling new features and optimizing strategic Analytics platforms across TransUnion. Our multi-Petabyte platforms support a diverse community of internal and customer-based data scientists, statisticians, modelers, product developers and data strategists. As a contributing member on one of our agile development teams, you will have both the accountability and freedom to build systems that are taking TransUnion to the next level. Success in this role requires a blend of skills in the following technology areas:. Agile (Scrum) SDLC. Full-Stack Web Application Development. Systems Engineering (""DevOps"") What You'll Bring: years of hands-on experience in development of services/microservices, ideally at an enterprise level. Understanding and implementation experience in event driven and streaming systems. Good understanding Cloud and Microservice Design patterns being preferred. Experience in multiple languages such as Java, .NET, C#, C++, Etc. Experience with modern framework (Angular preferred). Proficiency in HTML, CSS, JavaScript. Experience in Hadoop tools (Spark / Scala) and Python. Strongly believe in and support team collaboration and enjoy contributing in ways to assist in team wins. Understanding and implementation experience in event driven and streaming systems. An understanding of the many technologies used in delivering highly performant enterprise service/micro service-based architectures. Strong understanding of an API first development strategy, separation of API from the Service, and the versioning of services. Have used a CI/CD pipeline with highly robust automated testing. Working knowledge of Linux including shell scripting and basic system administration-Knowledge of Ansible is a plus. Experience with using monitoring tools like App-Dynamics and log management tools like Splunk, Prometheus. Excellent analytical skills and the ability to provide alternative solutions to technical problems. Strong written and verbal communication skills. Bachelor's degree in Computer Science. Impact You'll Make: At TransUnion, we are dedicated to finding ways information can be used to help people make better and smarter decisions. As a trusted provider of global information solutions, our mission is to help people around the world access the opportunities that lead to a higher quality of life, by helping organizations optimize their risk-based decisions and enabling consumers to understand and manage their personal information. Because when people have access to more complete and multidimensional information, they can make more informed decisions and achieve great things. Every day TransUnion offers our employees the tools and resources they need to find ways information can be used in diverse ways. Whether it is helping businesses better manage risk, providing better insights so a consumer can qualify for his first mortgage or working with law enforcement to make neighborhoods safer, we are improving the quality of life for individuals, families, communities and local economies around the world. #DICE #LI-EP1 We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, disability status, veteran status, marital status, citizenship status, sexual orientation, gender identity or any other characteristic protected by law. During the COVID-19 pandemic, TransUnion has several safety protocols in place to protect associates, customers, and visitors. You may be required to be fully vaccinated against COVID-19 as a condition of employment and/or to participate in certain work-related activities. Exemption is available to qualified candidates as a reasonable accommodation. TransUnion's Internal Job Title: Developer, Applications Development.",No Salary Listed
"Artificial Intelligence (Full Stack Developer), Senior"," Job Description. Limited immigration sponsorship may be available. While analytics isn't new, we're experiencing a renaissance in the science, technology, and application of business analytics today, which makes it hard to keep up. Many business leaders are now facing the dilemma of how best to quickly get up to speed on what analytics can actually deliver in practice. That's where Deloitte's Applied AI team can help. Work you'll do We are looking to add a Developer to our team. As a Developer, you will specialize in building powerful yet elegant products using cutting edge technologies. The Developer will have the opportunity to design and build innovative applications that offer measurable business value to our clients. The individual in this role may work in either a pure development role, helping architect and design a solution, or act as a lead, managing a development team. Evaluate client business challenges and work with the team to arrive at the best-fit technology solution components. Design, document, and develop world class web applications leveraging the full spectrum of front-end and back-end technologies and cutting-edge design patterns. Collaborate with clients and business analysts to translate business requirements into technical requirements. Mentor and assist with training junior developers. The team Analytics and Cognitive In this age of disruption, organizations need to navigate the future with confidence, embracing decision making with clear, data-driven choices that deliver enterprise value in a dynamic business environment. As the premier data-powered and platform-enabled cognitive consultancy, we help clients achieve competitive advantage through data and cognitive powered transformations that promote enterprise intelligence, autonomous processes, and precision stakeholder engagement The Analytics and Cognitive team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast troves of data, generate insights, and inform decision-making. Together with the Strategy practice, our Strategy and Analytics portfolio helps clients transform their business by architecting organizational intelligence programs and differentiated strategies to win in their chosen markets Qualifications: years of relevant Analytics consulting or industry experience. Demonstrated expertise with one full life cycle analytics engagement across strategy, design and implementation. years' experience leading workstreams or small teams. Travel up to% (Monday Thursday/Friday) (While% of travel is a requirement of the role, due to COVID-19, non-essential travel has been suspended until further notice.). Preferred: A Bachelor's degree oryears of relevant work experience. Understanding of the technology landscape including open-source, commercial on-premises, and cloud-based tools: Microsoft Cognitive Services, IBM Watson, IPSoft, Pega, Salesforce Einstein, Google Cloud Platform/Tensor Flow, Amazon Web Services/Sagemaker, PowerBI, SparkCognition, Expert System, Numenta, Deepmind, CognitiveScale, CustomerMatrix. Strong database development skills. Full-Stack web application development experience. User Interface (UI) design knowledge. Experience in Hadoop, Spark, Storm or related paradigms and associated languages such as Java/C++, R, Python, etc. Experience with developing web applications with SOA, RESTful, and/or MVC architecture. Experience with scripting languages (JavaScript (Node.js) / Python). Experience with the entire soft ware development lifecycle (SDLC). Experienced programming knowledge in both SAS and SQL, Operating system experience with UNIX and relational database knowledge such as ORACLE/TERADATA. SAS/Base, SAS/Stat, SAS/Macro. Significant development experience with a lower level language (Java or C#). Expert HTML, JavaScript, and CSS skills. Deep experience designing modular, object-oriented programming. Strong experience with server-side Web frameworks (Django (Python), Express (Node.js), Play (Java)). Strong experience with rela tional databases (Microsoft SQL Server, PostgresDB, MySQL). Experience with NoSQL databases (MongoDB, Neo4j). Experience developing across Windows/UNIX. Experience developing for mobile platforms. Knowledge of professional software engineering practices for the full software development lifecycle including coding standards, code reviews, source control management, build process, testing and operations. Experience mentoring and/or training junior developers. anccon Aand CConsulting21 #LI-CONS #IND:CONS.",No Salary Listed
"Artificial Intelligence (Full Stack Developer), Senior"," Job Description. Limited immigration sponsorship may be available. While analytics isn't new, we're experiencing a renaissance in the science, technology, and application of business analytics today, which makes it hard to keep up. Many business leaders are now facing the dilemma of how best to quickly get up to speed on what analytics can actually deliver in practice. That's where Deloitte's Applied AI team can help. Work you'll do We are looking to add a Developer to our team. As a Developer, you will specialize in building powerful yet elegant products using cutting edge technologies. The Developer will have the opportunity to design and build innovative applications that offer measurable business value to our clients. The individual in this role may work in either a pure development role, helping architect and design a solution, or act as a lead, managing a development team. Evaluate client business challenges and work with the team to arrive at the best-fit technology solution components. Design, document, and develop world class web applications leveraging the full spectrum of front-end and back-end technologies and cutting-edge design patterns. Collaborate with clients and business analysts to translate business requirements into technical requirements. Mentor and assist with training junior developers. The team Analytics and Cognitive In this age of disruption, organizations need to navigate the future with confidence, embracing decision making with clear, data-driven choices that deliver enterprise value in a dynamic business environment. As the premier data-powered and platform-enabled cognitive consultancy, we help clients achieve competitive advantage through data and cognitive powered transformations that promote enterprise intelligence, autonomous processes, and precision stakeholder engagement The Analytics and Cognitive team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast troves of data, generate insights, and inform decision-making. Together with the Strategy practice, our Strategy and Analytics portfolio helps clients transform their business by architecting organizational intelligence programs and differentiated strategies to win in their chosen markets Qualifications: years of relevant Analytics consulting or industry experience. Demonstrated expertise with one full life cycle analytics engagement across strategy, design and implementation. years' experience leading workstreams or small teams. Travel up to% (Monday Thursday/Friday) (While% of travel is a requirement of the role, due to COVID-19, non-essential travel has been suspended until further notice.). Preferred: A Bachelor's degree oryears of relevant work experience. Understanding of the technology landscape including open-source, commercial on-premises, and cloud-based tools: Microsoft Cognitive Services, IBM Watson, IPSoft, Pega, Salesforce Einstein, Google Cloud Platform/Tensor Flow, Amazon Web Services/Sagemaker, PowerBI, SparkCognition, Expert System, Numenta, Deepmind, CognitiveScale, CustomerMatrix. Strong database development skills. Full-Stack web application development experience. User Interface (UI) design knowledge. Experience in Hadoop, Spark, Storm or related paradigms and associated languages such as Java/C++, R, Python, etc. Experience with developing web applications with SOA, RESTful, and/or MVC architecture. Experience with scripting languages (JavaScript (Node.js) / Python). Experience with the entire soft ware development lifecycle (SDLC). Experienced programming knowledge in both SAS and SQL, Operating system experience with UNIX and relational database knowledge such as ORACLE/TERADATA. SAS/Base, SAS/Stat, SAS/Macro. Significant development experience with a lower level language (Java or C#). Expert HTML, JavaScript, and CSS skills. Deep experience designing modular, object-oriented programming. Strong experience with server-side Web frameworks (Django (Python), Express (Node.js), Play (Java)). Strong experience with rela tional databases (Microsoft SQL Server, PostgresDB, MySQL). Experience with NoSQL databases (MongoDB, Neo4j). Experience developing across Windows/UNIX. Experience developing for mobile platforms. Knowledge of professional software engineering practices for the full software development lifecycle including coding standards, code reviews, source control management, build process, testing and operations. Experience mentoring and/or training junior developers. anccon Aand CConsulting21.",No Salary Listed
